"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "XML", "JavaScript", "JSON", "Python", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/mnt/shareDsk/IT/repo/sja-v4/public/homepage/nav-logo.svg", "XML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 62
"/mnt/shareDsk/IT/repo/sja-v4/public/homepage/stat-logo.svg", "XML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 1, 62
"/mnt/shareDsk/IT/repo/sja-v4/public/homepage/update-log-logo.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"/mnt/shareDsk/IT/repo/sja-v4/public/meta/main-logo.svg", "XML", 0, 0, 0, 433, 0, 0, 0, 0, 0, 0, 1, 434
"/mnt/shareDsk/IT/repo/sja-v4/public/meta/white-banner-title.svg", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"/mnt/shareDsk/IT/repo/sja-v4/public/project-display/readme.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/mnt/shareDsk/IT/repo/sja-v4/public/ui/wifi_off.svg", "XML", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 40
"/mnt/shareDsk/IT/repo/sja-v4/tailwind.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/mnt/shareDsk/IT/repo/sja-v4/tsconfig.json", "JSON with Comments", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 72, 96, 27, 2024, 18, 6564, 459, 560, 92, 108, 314, 10334
